Ride,Date/Time,Wait Time
Haunted Mansion,2022-01-24 19:20:22,25
Haunted Mansion,2022-01-24 19:25:22,13
Haunted Mansion,2022-01-24 19:30:23,13
Haunted Mansion,2022-01-24 19:35:22,13
Haunted Mansion,2022-01-24 19:40:22,13
Haunted Mansion,2022-01-24 19:45:22,13
Haunted Mansion,2022-01-24 19:50:23,13
Haunted Mansion,2022-01-24 19:55:22,13
Haunted Mansion,2022-01-24 20:00:23,13
Haunted Mansion,2022-01-25 09:10:23,13
Haunted Mansion,2022-01-25 09:15:23,13
Haunted Mansion,2022-01-25 09:20:22,13
